Node,Type,Description
multi_list,list,Combine up to 7 lists into a multi-list
n_choose_k,math,Calculate binomial coefficient n choose k
node_card,other,Creates specification card for each NodeBox node - REQUIRES NODELIST.PY
noise,math,Generate Perlin noise value from -1 to 1 - REQUIRES NOISE.CLJ
occlude,alteration,Create plottable paths from overlapping shapes in increasing Z order
order_LRTB,point,"Order points or shapes left to right, top to bottom"
orderings,other,Generate a list of all possible ways to order up to 7 items
outer_points,point,Returns the points which form a boundary enclosing the rest - REQUIRES CONVEX_HULL.PY
overlaps,alteration,Return all possible intersections of up to ten overlapping shapes
palette,color,Expand and tune a palette of colors
parabola,geometry,Create parabola curve for y = Ax^2 + Bx + C for x between X1 and X2
partitions,other,Generate a list of all possible partitions of a set with n elements
percentage,math,Returns percentage as number or formatted string
pixelate,alteration,Turn a vector path or shape into an array of square pixels
place_label,text,Size and place a text label inside an arbitrary shape
point_in_path,point,Calculate a point between beginning and end of a path
poly_labels,text,Label the interior angles and sides of a polygon
precision,math,Rounds a floating point number to a given precision
primes,math,Generate a list of prime numbers up to a given limit
products,math,Generate the final or running products of a list of numbers
push_pull,alteration,Moves a subset of path's control points to alter its shape
quadtree,data,Create a quadtree to sort points into a heirarchy of tiles and sub-tiles
ramp_curve,geometry,Create a curve which can be used as a ramp
rearrange,animation,Move a list of points or shapes to a list of target positions over time
rel_change,point,"Given start point A and end point B returns B-A, the point needed to translate A to B"
relation,other,Returns spatial relationship between two closed shapes
redo_contour,alteration,Assemble up to 6 contours into a single path
reorder,list,Reorder a list of up to 7 items
resamp_curv,alteration,Remove curves from a path or short textpath with up to 6 contours
reshape,animation,Gradually reshape one polyline path into another
rev_dir,alteration,Reverse direction of a complex path
running_start,math,A running total that starts with the first value
sanzo_colors,color,A Dictionary of Color Combinations by Sanzo Wada
scale_true,alteration,Resize both shape and sttokeWidth
scatter_bias,point,Generate a biased distribution of points within a shape
scatter_even,point,Generate evenly spaced points within a rectangular area - REQUIRES POISSON.PY
secs,math,Returns clock time in seconds since last call; use trigger to measure elapsed time - REQUIRES TIME.PY
seg_display,text,Display numbers and hex values as a seven-segment display
set_type,point,"Create a point of type 1, 2, or 3"
settle,animation,Calculate values for a decaying sine wave
sign,math,"Return the sign of a number (-1, 0, or 1)"
signed_dist,math,Computes signed distance from points to a shape
soften,alteration,Soften the corners of a path
sort_colors,color,"Sort colors by luma, hue, saturation, or brightness"
spiral,geometry,Draws different types of spirals
stack2D,alteration,Arrange shapes in a two-dimensional grid
stack_tight,alteration,Arrange shapes tightly together in horizonatal or vertical stacks
style_text,text,Convert markup text into a list of styled word paths
sub_path,alteration,Returns a portion of a complex path between two positions (0 to 100)
sum_cols,data,Make summary table categorized by row with totals across multiple existing columns
summarize,data,Make summary table with totals categorized by row and optionally partitioned into columns
surround,geometry,Create a ring of equal-sized circles that surround a given circle
symbol,geometry,"Create a heart, spade, diamond, club or other common symbol"
take_sample,list,Return an evenly distributed subset from a list
tangent,math,Returns precise tangent angle at any position (0 to 100) along a path
text_circle,text,Create a text path centered above or below a circle
text_svg,text,Creates a kerned text path based on SVG fonts - REQUIRES hersheyFont.svg
this_or_that,list,"If which is 0 choose this, if which is 1 choose that"
time,math,"Returns local date, time, and day as list - REQUIRES TIME.PY"
trajectory,geometry,"Create a trajectory curve for a projectile with given angle, velocity, height, and gravity"
transpose,data,Turn a set of columns into a new dimension
treemap,geometry,"Given list of values and bounding rect, returns a treemap at position of rect - REQUIRES TREEMAP.PY"
triangle,geometry,"Create a triangle by supplying three values, including at least one side"
true_arc,text,Creates an directionally correct arc path for text to follow
true_center,point,"Calculate the true center of a triangle, reuleaux triangle, regular polygon, star, or fancy star"
true_spoke,text,Corrects text direction for text on a spoke path
turtle_drive,animation,Move a pointer around a polyline path
unwind,animation,Unwind a polyline path into a line or segmented curve
waveform,geometry,Create four types of waves
werner_color,color,Werner's Nomenclature of Colours by P. Syme
wind_letters,text,Winds letters around a spiral
wordpath,text,Create separate textpaths for each word in a text
write_table,data,"When triggered writes table to csv file and returns ""file saved"" - REQUIRES WRITE_TABLE.PY"
